company_name,category,headline,summary,sentiment_score,is_funding_news,confidence,_source_url,_source_title,_source_time
Gemini,AI,Gemini starts rolling out to Android Auto globally," Gemini will replace Google Assistant in Android Auto, the smartphone projection technology integrated into millions of cars, trucks, and SUVs . Google announced the move Thursday that Gemini will start to roll out to Android Auto users who upgraded from Google Assistant to Gemini on their phone . With Gemini, users can ask questions about businesses along their route to find something specific . Users can also reply to messages with Gemini and get summaries of texts .",0.769,False,0.8,https://techcrunch.com/2025/11/20/gemini-starts-rolling-out-to-android-auto-globally/,Gemini starts rolling out to Android Auto globally,"Thu, 20 Nov 2025 17:00:00 +0000"
Wikipedia,AI,The best guide to spotting AI writing comes from Wikipedia, Wikipedia has published a guide to “Signs of AI writing” since 2023 . The guide focuses on habits and turns of phrase that are rare on Wikipedia but common on the internet at large . The habits flagged here are deeply embedded in the way AI models are trained and deployed .,0.002,False,0.8,https://techcrunch.com/2025/11/20/the-best-guide-to-spotting-ai-writing-comes-from-wikipedia/,The best guide to spotting AI writing comes from Wikipedia,"Thu, 20 Nov 2025 16:32:55 +0000"
SEC,Policy/Regulation,"After SEC investigation, Curastory founder resigns, hires replacement"," SEC accused content monetization startup Curastory of overstating revenue to investors and misrepresenting true client numbers . As a result of a settlement with the SEC, CEO Tiffany Kelly has resigned from the role and replaced herself with Dave Dickman, former CEO of influencer marketing platform Tagger . The settlement agreement specifically barred Kelly for ten years from serving on the board of directors or as an executive at any company that would, essentially, fundraise .",0.001,True,0.8,https://techcrunch.com/2025/11/20/after-sec-investigation-curastory-founder-resigns-hires-replacement/,"After SEC investigation, Curastory founder resigns, hires replacement","Thu, 20 Nov 2025 16:20:00 +0000"
Spotify,Product,Spotify’s latest feature lets you transfer playlists from other services," Spotify is adding an integration with TuneMyMusic, a tool that can transfer playlists from other streaming services . The new feature is rolling out to all Spotify users . It's likely a win for both companies, as it could bring more customers to Spotify . Apple Music already offers a way for users to transfer their saved music from other services .",0.003,False,0.8,https://techcrunch.com/2025/11/20/spotifys-latest-feature-lets-you-transfer-playlists-from-other-services/,Spotify’s latest feature lets you transfer playlists from other services,"Thu, 20 Nov 2025 15:54:33 +0000"
TCS,AI,India’s TCS gets TPG to fund half of $2B AI data center project," Indian IT giant Tata Consultancy Services has secured $1 billion from private equity firm TPG as part of a multi-year, $2 billion project to build a network of gigawatt-scale data centers in the country . The demand-supply gap for AI compute in India is particularly stark: The country generates nearly 20% of the world’s data, but accounts for only about 3% of global data center capacity .",0.002,True,0.8,https://techcrunch.com/2025/11/20/indias-tcs-gets-tpg-to-fund-half-of-2b-ai-data-center-project/,India’s TCS gets TPG to fund half of $2B AI data center project,"Thu, 20 Nov 2025 15:34:45 +0000"
Ford,Product,Another fire breaks out at aluminum plant that supplies Ford," Four-alarm fire breaks out at Novelis aluminum plant in Oswego, New York . Plant supplies sheet metal for Ford's all-electric F-150 Lightning . Plant suffered a major fire in September that stopped operations .",0.004,False,0.8,https://techcrunch.com/2025/11/20/another-fire-breaks-out-at-aluminum-plant-that-supplies-ford/,Another fire breaks out at aluminum plant that supplies Ford,"Thu, 20 Nov 2025 15:01:33 +0000"
Google,Product,"Google releases Nano Banana Pro, its latest image generation model"," Google is upgrading its image generation model with new editing chops, higher resolutions, more accurate text rendering, and the ability to search the web . Dubbed Nano Banana Pro, the new model is built on Google’s latest large language model, Gemini 3, released earlier this week . The model is geared towards giving professionals more control over images, and lets users control aspects like camera angles, scene lighting, depth of field, focus, and color grading .",0.028,False,0.8,https://techcrunch.com/2025/11/20/google-releases-nano-banana-pro-its-latest-image-generation-model/,"Google releases Nano Banana Pro, its latest image generation model","Thu, 20 Nov 2025 15:00:00 +0000"
Wispr,Funding,"As its voice dictation app takes off, Wispr secures $25M from Notable Capital"," Wispr's dictation app, Wispr Flow, is seeing great traction and has signed 125 enterprise customers . After three months of usage, an average user writes more than 50% of their characters through the app . The company has raised $25 million led by Notable Capital with participation from Steven Bartlett’s Flight Fund . Wispr wants to invest in building its own voice models to understand users better with personalized Automatic Speech Recognition .",0.997,True,0.8,https://techcrunch.com/2025/11/20/as-its-voice-dectation-app-takes-off-wispr-secures-25m-from-notable-capital/,"As its voice dictation app takes off, Wispr secures $25M from Notable Capital","Thu, 20 Nov 2025 15:00:00 +0000"
Waymo,Product,"Waymo enters 3 more cities: Minneapolis, New Orleans and Tampa"," Waymo will start manually driving its robotaxis in Minneapolis, New Orleans, and Tampa . The company plans to launch a commercial robotaxi service in each of the three new cities in the coming days . The Alphabet-owned company is already offering rides on surface streets and highways in Los Angeles, San Francisco and Phoenix .",0.979,False,0.8,https://techcrunch.com/2025/11/20/waymo-enters-3-more-cities-minneapolis-new-orleans-and-tampa/,"Waymo enters 3 more cities: Minneapolis, New Orleans and Tampa","Thu, 20 Nov 2025 14:57:08 +0000"
Samsung Display,Product,"Samsung Display, China’s BOE settle OLED patent and trade secret lawsuits"," Samsung Display and China's BOE Technology have agreed to settle a patent lawsuit concerning OLED technology . The two companies have agreed that fair technological competition is essential for the advancement of the display industry . The settlement lays to bed a drawn out, three-year fight between Samsung’s display division and BOE, both of whom supply display panels used in Apple devices .",0.002,False,0.8,https://techcrunch.com/2025/11/20/samsung-display-chinas-boe-settle-oled-patent-and-trade-secret-lawsuits/,"Samsung Display, China’s BOE settle OLED patent and trade secret lawsuits","Thu, 20 Nov 2025 14:19:14 +0000"
